transaction_id,bank_id,customer_id,amount,timestamp
T0001,BANK004,C105,256.25,08/01/2025
T0002,BANK002,C162,"3,745.96",05/01/2025
T0003,BANK001,C186,"3,599.52",25/01/2025
T0004,BANK003,C120,"4,335.43",23/01/2025
T0005,BANK004,C120,"4,078,962.82",18/01/2025
T0006,BANK005,C177,"3,186.66",27/03/2025
T0007,BANK003,C180,"2,331.54",27/01/2025
T0008,BANK004,C173,"2,835.60",22/01/2025
T0009,BANK003,C160,"3,732.82",27/01/2025
T0010,BANK003,C101,"2,525.60",22/01/2025
T0011,BANK003,C137,"3,996.14",20/01/2025
T0012,BANK001,C117,"4,319.72",03/01/2025
T0013,BANK002,C189,"3,076.27",31/01/2025
T0014,BANK001,C185,"4,831.93",11/01/2025
T0015,BANK003,C141,"1,221.25",04/01/2025
T0016,BANK004,C189,"1,782.18",20/01/2025
T0017,BANK001,C126,"4,321.08",22/01/2025
T0018,BANK005,C125,"3,936.24",12/02/2025
T0019,BANK003,C184,"2,051.47",12/02/2025
T0020,BANK005,C152,"4,455.99",07/02/2025
T0021,BANK004,C101,"2,656.16",27/01/2025
T0022,BANK005,C198,"2,093.71",19/01/2025
,,,,
T0024,BANK003,C114,"1,700.99",13/03/2025
T0025,BANK001,C127,"3,340.07",22/03/2025
T0026,BANK001,C173,"4,539.96",14/03/2025
T0027,BANK005,C188,"18,937,153.98",05/01/2025
T0028,BANK002,C103,"4,159.05",27/03/2025
T0029,BANK004,C115,"1,361.17",19/01/2025
T0030,BANK001,C151,"1,701.52",22/03/2025
T0031,BANK001,C120,"2,260.35",13/01/2025
T0032,BANK005,C195,"3,726.12",17/01/2025
T0033,BANK001,C161,"3,292.67",22/01/2025
T0034,BANK006,C198,"1,804.57",20/01/2025
T0035,BANK001,C159,"1,694.77",14/03/2025
T0036,BANK005,C163,"3,090.27",11/01/2025
T0037,BANK001,C111,"2,844.24",11/02/2025
T0038,BANK004,C106,"4,009.33",25/01/2025
T0039,BANK003,C185,"4,971.63",14/02/2025
T0040,BANK004,C117,270.83,15/02/2025
T0041,BANK002,C144,"2,682.80",10/02/2025
T0042,BANK001,C168,"4,199.90",18/01/2025
T0043,BANK002,C140,"4,141.06",31/01/2025
T0044,BANK002,C105,"2,190.72",20/02/2025
T0045,BANK004,C103,"4,887.88",07/02/2025
,,,,
T0047,BANK003,C102,"1,813.46",28/03/2025
T0048,BANK006,C172,"1,536.41",21/03/2025
T0049,BANK003,C194,700.50,10/03/2025
T0050,BANK005,C159,"2,224.95",10/03/2025
T0051,BANK004,C197,411.33,21/03/2025
T0052,BANK003,C184,"4,418.06",22/03/2025
T0053,BANK004,C109,"3,815.33",19/03/2025
T0054,BANK003,C122,"3,460.17",25/03/2025
T0055,BANK001,C153,"2,077.98",26/03/2025
T0056,BANK002,C169,"4,214.29",09/03/2025
T0057,BANK001,C183,"2,572.60",17/03/2025
T0058,BANK004,C137,340.62,26/03/2025
T0059,BANK001,C133,"3,077.49",09/03/2025
T0060,BANK001,C168,"2,136.37",08/03/2025
T0061,BANK001,C196,"2,275.60",07/01/2025
T0062,BANK003,C166,537.52,12/03/2025
T0063,BANK003,C149,"1,260.70",19/01/2025
T0064,BANK005,C196,"1,926.63",25/03/2025
T0065,BANK002,C151,"2,681.83",09/03/2025
T0066,BANK001,C184,"1,903.38",31/03/2025
T0067,BANK003,C180,"1,364.11",15/01/2025
T0068,BANK003,C138,"2,202.87",04/03/2025
T0069,BANK004,C176,"4,973.55",27/01/2025
T0070,BANK003,C118,"3,681.16",14/03/2025
T0071,BANK001,C134,"1,320.77",27/02/2025
T0072,BANK003,C100,"1,403.04",02/02/2025
T0073,BANK005,C113,"4,067.37",26/02/2025
T0074,BANK006,C178,"3,381.86",17/02/2025
T0075,BANK005,C168,281.76,15/02/2025
T0076,BANK003,C164,"3,612.52",21/02/2025
T0077,BANK003,C108,"2,417.26",01/02/2025
T0078,BANK005,C188,"2,941.06",13/02/2025
T0079,BANK003,C146,"1,624.86",11/02/2025
T0080,BANK001,C124,964.74,25/02/2025
T0081,BANK002,C193,"3,391.23",01/02/2025
T0082,BANK002,C140,"4,104.74",08/02/2025
T0083,BANK003,C163,"2,887.46",20/03/2025
T0084,BANK003,C162,"1,764.15",04/03/2025
T0085,BANK002,C180,"1,125.66",27/01/2025
T0086,BANK001,C193,"4,444.53",17/01/2025
T0087,BANK005,C106,170.19,28/01/2025
T0088,BANK002,C139,468.90,09/01/2025
T0089,BANK002,C163,"3,433.49",03/01/2025
T0090,BANK005,C160,"1,289.19",21/01/2025
T0091,BANK004,C161,"2,750.28",20/01/2025
T0092,BANK003,C121,"4,889.01",20/01/2025
T0093,BANK001,C155,"2,455.20",07/01/2025
T0094,BANK003,C121,"3,618.79",07/01/2025
T0095,BANK003,C184,"1,811.24",12/01/2025
T0096,BANK004,C185,"1,053.49",15/01/2025
T0097,BANK006,C163,"3,394.43",01/01/2025
T0098,BANK002,C184,"4,115.23",26/01/2025
T0099,BANK003,C147,"1,700.74",31/01/2025
T0100,BANK005,C173,"3,577.42",01/01/2025
